C:\Users\Win10_Game_OS\Desktop\Bot>python run_v30_test.py

Loading data (auto mode)...

[OK] Loaded 20000 5m candles from local file.
[OK] Loaded 7000 15m candles from local file.
[OK] Loaded 2000 1h candles from local file.
[OK] Loaded 1000 4h candles from local file.

Loaded: 5m=20000, 15m=7000, 1h=2000, 4h=1000


Running V31 Institutional Backtest...

Total 5m candles: 20000
Starting Institutional loop...

OPEN SHORT | Price: 122.13 | SL: 122.47 | Risk: 0.88%
CLOSE | PnL: -88.0 | Equity: 9912.0 | DD: 0.88%
OPEN SHORT | Price: 123.49 | SL: 123.84 | Risk: 0.68%
CLOSE | PnL: -67.4 | Equity: 9844.6 | DD: 1.55%
OPEN SHORT | Price: 122.36 | SL: 123.33 | Risk: 0.88%
CLOSE | PnL: -22.33 | Equity: 9822.27 | DD: 1.78%
OPEN SHORT | Price: 125.84 | SL: 127.36 | Risk: 0.88%
CLOSE | PnL: -86.44 | Equity: 9735.83 | DD: 2.64%
OPEN SHORT | Price: 128.11 | SL: 128.72 | Risk: 0.88%
CLOSE | PnL: -85.68 | Equity: 9650.16 | DD: 3.5%
OPEN SHORT | Price: 128.25 | SL: 129.02 | Risk: 0.88%
CLOSE | PnL: 171.76 | Equity: 9821.92 | DD: 3.5%
OPEN SHORT | Price: 118.11 | SL: 120.1 | Risk: 0.88%
CLOSE | PnL: -73.4 | Equity: 9748.52 | DD: 3.5%
OPEN SHORT | Price: 118.37 | SL: 118.65 | Risk: 0.88%
CLOSE | PnL: -85.79 | Equity: 9662.73 | DD: 3.5%
OPEN SHORT | Price: 125.18 | SL: 126.3 | Risk: 0.68%
CLOSE | PnL: 72.56 | Equity: 9735.29 | DD: 3.5%
OPEN SHORT | Price: 126.21 | SL: 126.66 | Risk: 0.8%
CLOSE | PnL: 54.93 | Equity: 9790.22 | DD: 3.5%
OPEN SHORT | Price: 125.73 | SL: 126.5 | Risk: 0.56%
CLOSE | PnL: -20.65 | Equity: 9769.57 | DD: 3.5%
OPEN SHORT | Price: 124.93 | SL: 125.43 | Risk: 0.48%
CLOSE | PnL: -46.5 | Equity: 9723.07 | DD: 3.5%
OPEN SHORT | Price: 125.83 | SL: 125.99 | Risk: 0.48%
CLOSE | PnL: -46.28 | Equity: 9676.78 | DD: 3.5%
OPEN SHORT | Price: 126.07 | SL: 126.29 | Risk: 0.48%
CLOSE | PnL: -46.06 | Equity: 9630.72 | DD: 3.69%
OPEN SHORT | Price: 126.21 | SL: 126.5 | Risk: 0.48%
CLOSE | PnL: 75.88 | Equity: 9706.6 | DD: 3.69%
OPEN SHORT | Price: 125.97 | SL: 126.29 | Risk: 0.48%
CLOSE | PnL: 183.89 | Equity: 9890.48 | DD: 3.69%
OPEN SHORT | Price: 125.78 | SL: 126.47 | Risk: 0.48%
Progress: 7.5% | Trades: 16 | Equity: 9890.48
CLOSE | PnL: -47.08 | Equity: 9843.41 | DD: 3.69%
OPEN SHORT | Price: 125.44 | SL: 125.63 | Risk: 0.48%
CLOSE | PnL: -46.85 | Equity: 9796.55 | DD: 3.69%
OPEN SHORT | Price: 125.8 | SL: 125.98 | Risk: 0.48%
CLOSE | PnL: 3.82 | Equity: 9800.37 | DD: 3.69%
OPEN SHORT | Price: 126.15 | SL: 126.71 | Risk: 0.48%
CLOSE | PnL: 46.0 | Equity: 9846.37 | DD: 3.69%
OPEN SHORT | Price: 125.95 | SL: 126.11 | Risk: 0.48%
CLOSE | PnL: 355.07 | Equity: 10201.45 | DD: 3.69%
OPEN SHORT | Price: 124.34 | SL: 124.84 | Risk: 0.68%
CLOSE | PnL: 87.68 | Equity: 10289.13 | DD: 3.69%
OPEN SHORT | Price: 123.51 | SL: 124.03 | Risk: 0.68%
CLOSE | PnL: -69.97 | Equity: 10219.16 | DD: 3.69%
OPEN SHORT | Price: 122.04 | SL: 122.31 | Risk: 0.68%
CLOSE | PnL: -20.59 | Equity: 10198.57 | DD: 3.69%
Progress: 15.0% | Trades: 24 | Equity: 10198.57
OPEN SHORT | Price: 123.59 | SL: 123.76 | Risk: 0.68%
CLOSE | PnL: -69.35 | Equity: 10129.22 | DD: 3.69%
OPEN SHORT | Price: 124.11 | SL: 124.31 | Risk: 0.68%
CLOSE | PnL: -68.88 | Equity: 10060.34 | DD: 3.69%
OPEN SHORT | Price: 124.34 | SL: 124.41 | Risk: 0.68%
CLOSE | PnL: -28.32 | Equity: 10032.03 | DD: 3.69%
OPEN SHORT | Price: 124.51 | SL: 124.7 | Risk: 0.68%
CLOSE | PnL: 412.92 | Equity: 10444.95 | DD: 3.69%
OPEN SHORT | Price: 123.65 | SL: 123.83 | Risk: 0.68%
CLOSE | PnL: -71.03 | Equity: 10373.92 | DD: 3.69%
OPEN SHORT | Price: 124.22 | SL: 124.31 | Risk: 0.68%
CLOSE | PnL: 27.11 | Equity: 10401.04 | DD: 3.69%
OPEN SHORT | Price: 124.21 | SL: 124.38 | Risk: 0.68%
CLOSE | PnL: -70.73 | Equity: 10330.31 | DD: 3.69%
OPEN SHORT | Price: 125.33 | SL: 125.5 | Risk: 0.68%
CLOSE | PnL: 5.99 | Equity: 10336.3 | DD: 3.69%
OPEN LONG | Price: 128.24 | SL: 128.07 | Risk: 0.68%
CLOSE | PnL: -68.51 | Equity: 10267.79 | DD: 3.69%
OPEN LONG | Price: 128.07 | SL: 127.88 | Risk: 0.68%
CLOSE | PnL: -69.82 | Equity: 10197.97 | DD: 3.69%
OPEN LONG | Price: 127.7 | SL: 127.54 | Risk: 0.68%
CLOSE | PnL: -63.89 | Equity: 10134.08 | DD: 3.69%
OPEN LONG | Price: 127.87 | SL: 127.4 | Risk: 0.68%
CLOSE | PnL: -68.91 | Equity: 10065.17 | DD: 3.69%
OPEN LONG | Price: 125.12 | SL: 124.81 | Risk: 0.68%
CLOSE | PnL: -68.44 | Equity: 9996.72 | DD: 4.29%
OPEN SHORT | Price: 123.13 | SL: 123.9 | Risk: 0.68%
CLOSE | PnL: -10.59 | Equity: 9986.13 | DD: 4.39%
OPEN SHORT | Price: 124.78 | SL: 125.1 | Risk: 0.68%
CLOSE | PnL: 40.21 | Equity: 10026.34 | DD: 4.39%
